cuda:0
genrr_chi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(6.8143, device='cuda:0')
pval: 0.07700000703334808 -- 181th test, time elapsed 1.4476759433746338 -- emperical power so far: 0.35911602209944754
tensor(12.9179, device='cuda:0')
pval: 0.012000000104308128 -- 182th test, time elapsed 1.4665875434875488 -- emperical power so far: 0.3626373626373626
tensor(10.0799, device='cuda:0')
pval: 0.020000001415610313 -- 183th test, time elapsed 1.4313223361968994 -- emperical power so far: 0.366120218579235
tensor(10.6426, device='cuda:0')
pval: 0.012000000104308128 -- 184th test, time elapsed 1.4346988201141357 -- emperical power so far: 0.3695652173913043
tensor(12.8216, device='cuda:0')
pval: 0.007000000216066837 -- 185th test, time elapsed 1.46891450881958 -- emperical power so far: 0.372972972972973
tensor(2.1089, device='cuda:0')
pval: 0.562000036239624 -- 186th test, time elapsed 1.4739100933074951 -- emperical power so far: 0.3709677419354839
tensor(2.3673, device='cuda:0')
pval: 0.51500004529953 -- 187th test, time elapsed 1.4525341987609863 -- emperical power so far: 0.3689839572192513
tensor(20.2979, device='cuda:0')
pval: 0.0010000000474974513 -- 188th test, time elapsed 1.4535081386566162 -- emperical power so far: 0.3723404255319149
tensor(7.5746, device='cuda:0')
pval: 0.052000001072883606 -- 189th test, time elapsed 1.458512783050537 -- emperical power so far: 0.37037037037037035
tensor(1.2274, device='cuda:0')
pval: 0.7870000600814819 -- 190th test, time elapsed 1.4329392910003662 -- emperical power so far: 0.3684210526315789
tensor(1.8038, device='cuda:0')
pval: 0.6190000176429749 -- 191th test, time elapsed 1.4765455722808838 -- emperical power so far: 0.36649214659685864
tensor(9.8183, device='cuda:0')
