cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
pval: 0.0010000000474974513 -- 127th test, time elapsed 4.6748363971710205 -- emperical power so far: 0.9921259842519685
tensor(26.6933, device='cuda:1')
pval: 0.0010000000474974513 -- 128th test, time elapsed 5.7647385597229 -- emperical power so far: 0.9921875
tensor(23.0738, device='cuda:1')
pval: 0.0010000000474974513 -- 129th test, time elapsed 5.723434209823608 -- emperical power so far: 0.9922480620155039
tensor(35.6176, device='cuda:1')
pval: 0.0010000000474974513 -- 130th test, time elapsed 5.772233963012695 -- emperical power so far: 0.9923076923076923
tensor(18.6432, device='cuda:1')
pval: 0.0010000000474974513 -- 131th test, time elapsed 4.506199836730957 -- emperical power so far: 0.9923664122137404
tensor(17.0332, device='cuda:1')
pval: 0.0020000000949949026 -- 132th test, time elapsed 4.500938415527344 -- emperical power so far: 0.9924242424242424
tensor(30.3309, device='cuda:1')
pval: 0.0010000000474974513 -- 133th test, time elapsed 5.7257208824157715 -- emperical power so far: 0.9924812030075187
tensor(38.5591, device='cuda:1')
pval: 0.0010000000474974513 -- 134th test, time elapsed 5.75706672668457 -- emperical power so far: 0.9925373134328358
tensor(26.2082, device='cuda:1')
pval: 0.0010000000474974513 -- 135th test, time elapsed 4.649409294128418 -- emperical power so far: 0.9925925925925926
tensor(17.0685, device='cuda:1')
pval: 0.0010000000474974513 -- 136th test, time elapsed 5.744475841522217 -- emperical power so far: 0.9926470588235294
tensor(7.1177, device='cuda:1')
pval: 0.08400000631809235 -- 137th test, time elapsed 5.756678581237793 -- emperical power so far: 0.9854014598540146
tensor(25.8548, device='cuda:1')
pval: 0.0010000000474974513 -- 138th test, time elapsed 5.852204322814941 -- emperical power so far: 0.9855072463768116
tensor(13.8698, device='cuda:1')
pval: 0.004000000189989805 -- 139th test, time elapsed 6.2761640548706055 -- emperical power so far: 0.9856115107913669
tensor(31.6210, device='cuda:1')
pval: 0.0010000000474974513 -- 140th test, time elapsed 6.16949987411499 -- emperical power so far: 0.9857142857142858
tensor(6.3102, device='cuda:1')
pval: 0.10000000149011612 -- 141th test, time elapsed 5.823930740356445 -- emperical power so far: 0.9787234042553191
tensor(34.0822, device='cuda:1')
pval: 0.0010000000474974513 -- 142th test, time elapsed 5.665223121643066 -- emperical power so far: 0.9788732394366197
tensor(19.4462, device='cuda:1')
pval: 0.0010000000474974513 -- 143th test, time elapsed 4.631110191345215 -- emperical power so far: 0.9790209790209791
