cuda:1
lapu_ell2
privacy level = 0.5
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.3230000138282776 -- 165th test, time elapsed 2.1176583766937256 -- emperical power so far: 0.12727272727272726
tensor(-0.7928, device='cuda:1')
pval: 0.9320000410079956 -- 166th test, time elapsed 2.203627109527588 -- emperical power so far: 0.12650602409638553
tensor(0.2116, device='cuda:1')
pval: 0.29100000858306885 -- 167th test, time elapsed 2.137523889541626 -- emperical power so far: 0.12574850299401197
tensor(1.0282, device='cuda:1')
pval: 0.08500000089406967 -- 168th test, time elapsed 2.1971206665039062 -- emperical power so far: 0.125
tensor(0.5047, device='cuda:1')
pval: 0.22200001776218414 -- 169th test, time elapsed 2.149354934692383 -- emperical power so far: 0.1242603550295858
tensor(1.5596, device='cuda:1')
pval: 0.04100000113248825 -- 170th test, time elapsed 2.141216993331909 -- emperical power so far: 0.12941176470588237
tensor(-0.3454, device='cuda:1')
pval: 0.64000004529953 -- 171th test, time elapsed 2.1160805225372314 -- emperical power so far: 0.1286549707602339
tensor(-0.5552, device='cuda:1')
pval: 0.7940000295639038 -- 172th test, time elapsed 2.131344795227051 -- emperical power so far: 0.12790697674418605
tensor(0.1185, device='cuda:1')
pval: 0.31200000643730164 -- 173th test, time elapsed 2.1170947551727295 -- emperical power so far: 0.12716763005780346
tensor(-0.6554, device='cuda:1')
pval: 0.8340000510215759 -- 174th test, time elapsed 2.1458585262298584 -- emperical power so far: 0.12643678160919541
tensor(0.7545, device='cuda:1')
pval: 0.14300000667572021 -- 175th test, time elapsed 2.1353917121887207 -- emperical power so far: 0.12571428571428572
tensor(-0.1687, device='cuda:1')
pval: 0.5049999952316284 -- 176th test, time elapsed 2.1206345558166504 -- emperical power so far: 0.125
tensor(-0.4743, device='cuda:1')
pval: 0.6830000281333923 -- 177th test, time elapsed 2.1623919010162354 -- emperical power so far: 0.12429378531073447
tensor(-0.1113, device='cuda:1')
pval: 0.4440000355243683 -- 178th test, time elapsed 2.1362268924713135 -- emperical power so far: 0.12359550561797752
tensor(1.3399, device='cuda:1')
pval: 0.049000002443790436 -- 179th test, time elapsed 2.200984477996826 -- emperical power so far: 0.12849162011173185
tensor(0.1784, device='cuda:1')
pval: 0.30000001192092896 -- 180th test, time elapsed 2.135679244995117 -- emperical power so far: 0.12777777777777777
tensor(0.8616, device='cuda:1')
pval: 0.12800000607967377 -- 181th test, time elapsed 2.124927043914795 -- emperical power so far: 0.1270718232044199
tensor(1.6636, device='cuda:1')
pval: 0.03100000135600567 -- 182th test, time elapsed 2.11857271194458 -- emperical power so far: 0.13186813186813187
tensor(1.2308, device='cuda:1')
pval: 0.0650000050663948 -- 183th test, time elapsed 2.1436431407928467 -- emperical power so far: 0.13114754098360656
tensor(-0.0079, device='cuda:1')
pval: 0.40700000524520874 -- 184th test, time elapsed 2.154869556427002 -- emperical power so far: 0.13043478260869565
tensor(2.0537, device='cuda:1')
pval: 0.020000001415610313 -- 185th test, time elapsed 2.110624313354492 -- emperical power so far: 0.13513513513513514
tensor(0.7873, device='cuda:1')
pval: 0.11800000816583633 -- 186th test, time elapsed 2.15207839012146 -- emperical power so far: 0.13440860215053763
tensor(0.3498, device='cuda:1')
pval: 0.24400001764297485 -- 187th test, time elapsed 2.1136085987091064 -- emperical power so far: 0.13368983957219252
tensor(-0.4952, device='cuda:1')
pval: 0.7070000171661377 -- 188th test, time elapsed 2.1259987354278564 -- emperical power so far: 0.13297872340425532
tensor(-0.7662, device='cuda:1')
pval: 0.9120000600814819 -- 189th test, time elapsed 2.113149881362915 -- emperical power so far: 0.13227513227513227
tensor(-0.5506, device='cuda:1')
pval: 0.7660000324249268 -- 190th test, time elapsed 2.1240928173065186 -- emperical power so far: 0.13157894736842105
tensor(0.2303, device='cuda:1')
