cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.07200000435113907 -- 127th test, time elapsed 2.1204023361206055 -- emperical power so far: 0.44881889763779526
tensor(0.0292, device='cuda:1')
pval: 0.2200000137090683 -- 128th test, time elapsed 2.088378667831421 -- emperical power so far: 0.4453125
tensor(0.0044, device='cuda:1')
pval: 0.3680000305175781 -- 129th test, time elapsed 2.1372952461242676 -- emperical power so far: 0.4418604651162791
tensor(0.0373, device='cuda:1')
pval: 0.1990000158548355 -- 130th test, time elapsed 2.0889081954956055 -- emperical power so far: 0.43846153846153846
tensor(0.0890, device='cuda:1')
pval: 0.06700000166893005 -- 131th test, time elapsed 2.105134963989258 -- emperical power so far: 0.4351145038167939
tensor(0.1637, device='cuda:1')
pval: 0.01100000087171793 -- 132th test, time elapsed 2.0993995666503906 -- emperical power so far: 0.4393939393939394
tensor(0.2328, device='cuda:1')
pval: 0.0010000000474974513 -- 133th test, time elapsed 2.1133716106414795 -- emperical power so far: 0.44360902255639095
tensor(0.1259, device='cuda:1')
pval: 0.023000001907348633 -- 134th test, time elapsed 2.1069486141204834 -- emperical power so far: 0.44776119402985076
tensor(-0.0120, device='cuda:1')
pval: 0.5040000081062317 -- 135th test, time elapsed 2.1095962524414062 -- emperical power so far: 0.4444444444444444
tensor(0.1419, device='cuda:1')
pval: 0.013000000268220901 -- 136th test, time elapsed 2.1017849445343018 -- emperical power so far: 0.4485294117647059
tensor(0.0717, device='cuda:1')
pval: 0.08400000631809235 -- 137th test, time elapsed 2.0929758548736572 -- emperical power so far: 0.44525547445255476
tensor(0.1520, device='cuda:1')
pval: 0.015000000596046448 -- 138th test, time elapsed 2.094008207321167 -- emperical power so far: 0.4492753623188406
tensor(0.0330, device='cuda:1')
pval: 0.20800000429153442 -- 139th test, time elapsed 2.090036392211914 -- emperical power so far: 0.4460431654676259
tensor(0.0852, device='cuda:1')
pval: 0.06200000271201134 -- 140th test, time elapsed 2.0925798416137695 -- emperical power so far: 0.44285714285714284
tensor(0.1606, device='cuda:1')
pval: 0.013000000268220901 -- 141th test, time elapsed 2.0939459800720215 -- emperical power so far: 0.44680851063829785
tensor(0.0734, device='cuda:1')
pval: 0.09100000560283661 -- 142th test, time elapsed 2.1199605464935303 -- emperical power so far: 0.44366197183098594
tensor(0.4837, device='cuda:1')
pval: 0.0010000000474974513 -- 143th test, time elapsed 2.1304492950439453 -- emperical power so far: 0.44755244755244755
tensor(0.0856, device='cuda:1')
pval: 0.06400000303983688 -- 144th test, time elapsed 2.132760763168335 -- emperical power so far: 0.4444444444444444
