cuda:0
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.27900001406669617 -- 128th test, time elapsed 2.1130802631378174 -- emperical power so far: 0.140625
tensor(-0.1936, device='cuda:0')
pval: 0.9160000681877136 -- 129th test, time elapsed 2.0909695625305176 -- emperical power so far: 0.13953488372093023
tensor(-0.0931, device='cuda:0')
pval: 0.6380000114440918 -- 130th test, time elapsed 2.117324113845825 -- emperical power so far: 0.13846153846153847
tensor(-0.0173, device='cuda:0')
pval: 0.4490000307559967 -- 131th test, time elapsed 2.071621894836426 -- emperical power so far: 0.13740458015267176
tensor(0.1609, device='cuda:0')
pval: 0.15900000929832458 -- 132th test, time elapsed 2.1133315563201904 -- emperical power so far: 0.13636363636363635
tensor(0.3949, device='cuda:0')
pval: 0.04200000315904617 -- 133th test, time elapsed 2.1139936447143555 -- emperical power so far: 0.14285714285714285
tensor(0.1625, device='cuda:0')
pval: 0.16300000250339508 -- 134th test, time elapsed 2.082043409347534 -- emperical power so far: 0.1417910447761194
tensor(-0.1057, device='cuda:0')
pval: 0.6600000262260437 -- 135th test, time elapsed 2.0816550254821777 -- emperical power so far: 0.14074074074074075
tensor(0.1241, device='cuda:0')
pval: 0.19600000977516174 -- 136th test, time elapsed 2.084188461303711 -- emperical power so far: 0.13970588235294118
tensor(0.1414, device='cuda:0')
pval: 0.1730000078678131 -- 137th test, time elapsed 2.062922477722168 -- emperical power so far: 0.1386861313868613
tensor(0.2031, device='cuda:0')
pval: 0.12800000607967377 -- 138th test, time elapsed 2.091627359390259 -- emperical power so far: 0.13768115942028986
tensor(-0.0201, device='cuda:0')
pval: 0.453000009059906 -- 139th test, time elapsed 2.0667922496795654 -- emperical power so far: 0.1366906474820144
tensor(0.0960, device='cuda:0')
pval: 0.24800001084804535 -- 140th test, time elapsed 2.0935935974121094 -- emperical power so far: 0.1357142857142857
tensor(0.1896, device='cuda:0')
pval: 0.13700000941753387 -- 141th test, time elapsed 2.124541759490967 -- emperical power so far: 0.1347517730496454
tensor(-0.0822, device='cuda:0')
pval: 0.6100000143051147 -- 142th test, time elapsed 2.0803494453430176 -- emperical power so far: 0.13380281690140844
tensor(1.1083, device='cuda:0')
pval: 0.0020000000949949026 -- 143th test, time elapsed 2.0966501235961914 -- emperical power so far: 0.13986013986013987
tensor(0.1697, device='cuda:0')
pval: 0.17000000178813934 -- 144th test, time elapsed 2.0977814197540283 -- emperical power so far: 0.1388888888888889
tensor(-0.1912, device='cuda:0')
pval: 0.9030000567436218 -- 145th test, time elapsed 2.092402219772339 -- emperical power so far: 0.13793103448275862
tensor(-0.0512, device='cuda:0')
pval: 0.5080000162124634 -- 146th test, time elapsed 2.1038296222686768 -- emperical power so far: 0.136986301369863
tensor(-0.0057, device='cuda:0')
pval: 0.4140000343322754 -- 147th test, time elapsed 2.093043327331543 -- emperical power so far: 0.1360544217687075
tensor(0.2012, device='cuda:0')
pval: 0.1420000046491623 -- 148th test, time elapsed 2.079533815383911 -- emperical power so far: 0.13513513513513514
tensor(-0.1847, device='cuda:0')
pval: 0.8830000162124634 -- 149th test, time elapsed 2.077906370162964 -- emperical power so far: 0.1342281879194631
tensor(-0.0510, device='cuda:0')
pval: 0.5450000166893005 -- 150th test, time elapsed 2.0809435844421387 -- emperical power so far: 0.13333333333333333
tensor(-0.1045, device='cuda:0')
pval: 0.675000011920929 -- 151th test, time elapsed 2.115717887878418 -- emperical power so far: 0.13245033112582782
tensor(-0.0706, device='cuda:0')
pval: 0.5610000491142273 -- 152th test, time elapsed 2.0893867015838623 -- emperical power so far: 0.13157894736842105
tensor(-0.0280, device='cuda:0')
pval: 0.43400001525878906 -- 153th test, time elapsed 2.111532211303711 -- emperical power so far: 0.13071895424836602
tensor(0.1116, device='cuda:0')
pval: 0.23400001227855682 -- 154th test, time elapsed 2.096863031387329 -- emperical power so far: 0.12987012987012986
tensor(0.6980, device='cuda:0')
pval: 0.006000000052154064 -- 155th test, time elapsed 2.1122496128082275 -- emperical power so far: 0.13548387096774195
tensor(-0.1863, device='cuda:0')
pval: 0.9080000519752502 -- 156th test, time elapsed 2.098074436187744 -- emperical power so far: 0.1346153846153846
tensor(-0.0689, device='cuda:0')
pval: 0.5990000367164612 -- 157th test, time elapsed 2.124011993408203 -- emperical power so far: 0.1337579617834395
tensor(0.8129, device='cuda:0')
pval: 0.005000000353902578 -- 158th test, time elapsed 2.092045783996582 -- emperical power so far: 0.13924050632911392
tensor(0.8535, device='cuda:0')
pval: 0.0020000000949949026 -- 159th test, time elapsed 2.128739833831787 -- emperical power so far: 0.14465408805031446
tensor(-0.0322, device='cuda:0')
pval: 0.4610000252723694 -- 160th test, time elapsed 2.1223556995391846 -- emperical power so far: 0.14375
tensor(0.6962, device='cuda:0')
pval: 0.004000000189989805 -- 161th test, time elapsed 2.0796728134155273 -- emperical power so far: 0.14906832298136646
tensor(-0.0586, device='cuda:0')
pval: 0.5270000100135803 -- 162th test, time elapsed 2.094940423965454 -- emperical power so far: 0.14814814814814814
tensor(-0.0217, device='cuda:0')
pval: 0.44700002670288086 -- 163th test, time elapsed 2.0750513076782227 -- emperical power so far: 0.147239263803681
tensor(0.4371, device='cuda:0')
pval: 0.02800000086426735 -- 164th test, time elapsed 2.068068027496338 -- emperical power so far: 0.1524390243902439
tensor(0.1812, device='cuda:0')
pval: 0.14300000667572021 -- 165th test, time elapsed 2.0904598236083984 -- emperical power so far: 0.15151515151515152
tensor(-0.1769, device='cuda:0')
pval: 0.8750000596046448 -- 166th test, time elapsed 2.080625295639038 -- emperical power so far: 0.15060240963855423
tensor(0.0675, device='cuda:0')
pval: 0.2760000228881836 -- 167th test, time elapsed 2.0698983669281006 -- emperical power so far: 0.1497005988023952
tensor(0.2583, device='cuda:0')
pval: 0.08800000697374344 -- 168th test, time elapsed 2.1079790592193604 -- emperical power so far: 0.1488095238095238
tensor(0.1469, device='cuda:0')
pval: 0.19700001180171967 -- 169th test, time elapsed 2.0934598445892334 -- emperical power so far: 0.14792899408284024
tensor(0.3936, device='cuda:0')
pval: 0.04100000113248825 -- 170th test, time elapsed 2.144449472427368 -- emperical power so far: 0.15294117647058825
tensor(-0.0481, device='cuda:0')
pval: 0.5320000052452087 -- 171th test, time elapsed 2.124454975128174 -- emperical power so far: 0.15204678362573099
tensor(-0.0251, device='cuda:0')
pval: 0.4660000205039978 -- 172th test, time elapsed 2.1317684650421143 -- emperical power so far: 0.1511627906976744
tensor(0.2289, device='cuda:0')
pval: 0.10200000554323196 -- 173th test, time elapsed 2.1034581661224365 -- emperical power so far: 0.15028901734104047
tensor(-0.1311, device='cuda:0')
pval: 0.7570000290870667 -- 174th test, time elapsed 2.139322280883789 -- emperical power so far: 0.14942528735632185
tensor(0.3718, device='cuda:0')
pval: 0.05300000309944153 -- 175th test, time elapsed 2.1166749000549316 -- emperical power so far: 0.14857142857142858
tensor(-0.0432, device='cuda:0')
pval: 0.5100000500679016 -- 176th test, time elapsed 2.116065740585327 -- emperical power so far: 0.14772727272727273
tensor(-0.1830, device='cuda:0')
pval: 0.8670000433921814 -- 177th test, time elapsed 2.1117842197418213 -- emperical power so far: 0.14689265536723164
tensor(0.1457, device='cuda:0')
pval: 0.16100001335144043 -- 178th test, time elapsed 2.1302359104156494 -- emperical power so far: 0.14606741573033707
tensor(0.5747, device='cuda:0')
pval: 0.007000000216066837 -- 179th test, time elapsed 2.1297497749328613 -- emperical power so far: 0.15083798882681565
tensor(0.2300, device='cuda:0')
pval: 0.11100000888109207 -- 180th test, time elapsed 2.192042350769043 -- emperical power so far: 0.15
tensor(0.2546, device='cuda:0')
pval: 0.10200000554323196 -- 181th test, time elapsed 2.131523847579956 -- emperical power so far: 0.14917127071823205
tensor(0.4516, device='cuda:0')
pval: 0.030000001192092896 -- 182th test, time elapsed 2.1267852783203125 -- emperical power so far: 0.15384615384615385
tensor(0.5529, device='cuda:0')
pval: 0.018000001087784767 -- 183th test, time elapsed 2.128777265548706 -- emperical power so far: 0.15846994535519127
tensor(0.1000, device='cuda:0')
pval: 0.23600001633167267 -- 184th test, time elapsed 2.20688533782959 -- emperical power so far: 0.15760869565217392
tensor(0.8259, device='cuda:0')
pval: 0.005000000353902578 -- 185th test, time elapsed 2.15210223197937 -- emperical power so far: 0.16216216216216217
tensor(0.1296, device='cuda:0')
pval: 0.1810000091791153 -- 186th test, time elapsed 2.176154136657715 -- emperical power so far: 0.16129032258064516
tensor(0.0148, device='cuda:0')
pval: 0.3790000081062317 -- 187th test, time elapsed 2.116403102874756 -- emperical power so far: 0.16042780748663102
tensor(-0.0398, device='cuda:0')
pval: 0.4910000264644623 -- 188th test, time elapsed 2.1185224056243896 -- emperical power so far: 0.1595744680851064
tensor(-0.1639, device='cuda:0')
pval: 0.8380000591278076 -- 189th test, time elapsed 2.125826835632324 -- emperical power so far: 0.15873015873015872
tensor(-0.1600, device='cuda:0')
pval: 0.8240000605583191 -- 190th test, time elapsed 2.124191999435425 -- emperical power so far: 0.15789473684210525
tensor(-0.0766, device='cuda:0')
pval: 0.5610000491142273 -- 191th test, time elapsed 2.127107620239258 -- emperical power so far: 0.15706806282722513
